frame_id,child_frame_id,timestamp_sec,timestamp_nanosec,position_x,position_y,position_z,orientation_x,orientation_y,orientation_z,orientation_w
odom,base_link,1651236804,239010304,-23.36122703552246,112.57046508789062,-19.43808913230896,-0.011960864067077637,-0.0072921523824334145,-0.9134390354156494,-0.40673452615737915
odom,base_link,1651236804,279010304,-23.36122703552246,112.57046508789062,-19.43808937072754,-0.011960871517658234,-0.007292167283594608,-0.9134390354156494,-0.4067346453666687
odom,base_link,1651236804,349010176,-23.36122703552246,112.57046508789062,-19.438089609146118,-0.011960899457335472,-0.007292171940207481,-0.9134389162063599,-0.40673479437828064
odom,base_link,1651236804,369010176,-23.36122703552246,112.57046508789062,-19.43808937072754,-0.011960901319980621,-0.007292165420949459,-0.9134389162063599,-0.4067348539829254
odom,base_link,1651236804,439010048,-23.36122703552246,112.57046508789062,-19.43808937072754,-0.01196091715246439,-0.007292193826287985,-0.9134387969970703,-0.40673503279685974
odom,base_link,1651236804,539010048,-23.361225128173828,112.57046508789062,-19.43808937072754,-0.011960902251303196,-0.007292190100997686,-0.9134386777877808,-0.40673527121543884
odom,base_link,1651236804,659010048,-23.361225128173828,112.57046508789062,-19.43808937072754,-0.011960905976593494,-0.007292190100997686,-0.9134385585784912,-0.4067355692386627
odom,base_link,1651236804,759009792,-23.361225128173828,112.57046508789062,-19.43808937072754,-0.011960899457335472,-0.007292184978723526,-0.9134383797645569,-0.40673577785491943
odom,base_link,1651236804,819009792,-23.361225128173828,112.57046508789062,-19.43808913230896,-0.011960901319980621,-0.007292174734175205,-0.9134383797645569,-0.40673595666885376
odom,base_link,1651236804,839009792,-23.361225128173828,112.57046508789062,-19.43808937072754,-0.011960901319980621,-0.00729216355830431,-0.9134383797645569,-0.40673601627349854
odom,base_link,1651236804,879009792,-23.361225128173828,112.57046508789062,-19.43808937072754,-0.011960892006754875,-0.007292173802852631,-0.9134382605552673,-0.4067360758781433
odom,base_link,1651236804,949009664,-23.361223220825195,112.57046508789062,-19.43808937072754,-0.011960882693529129,-0.007292167283594608,-0.9134382605552673,-0.4067362844944
odom,base_link,1651236805,49009664,-23.361223220825195,112.57046508789062,-19.43808937072754,-0.011960865929722786,-0.007292184978723526,-0.913438081741333,-0.40673649311065674
odom,base_link,1651236805,89009408,-23.361223220825195,112.57046508789062,-19.43808937072754,-0.011960865929722786,-0.007292214781045914,-0.913438081741333,-0.4067366123199463
odom,base_link,1651236805,159009536,-23.361223220825195,112.57046508789062,-19.43808937072754,-0.01196085475385189,-0.007292220368981361,-0.9134379625320435,-0.4067367613315582
odom,base_link,1651236805,259009280,-23.361221313476562,112.57046508789062,-19.43808937072754,-0.011960837990045547,-0.007292195223271847,-0.9134379625320435,-0.4067370593547821
odom,base_link,1651236805,319009280,-23.361221313476562,112.57046508789062,-19.43808889389038,-0.011960834264755249,-0.007292198948562145,-0.9134378433227539,-0.40673717856407166
odom,base_link,1651236805,449009152,-23.361221313476562,112.5704574584961,-19.43808889389038,-0.011960826814174652,-0.00729221198707819,-0.9134377241134644,-0.4067375063896179
odom,base_link,1651236805,529009152,-23.361221313476562,112.5704574584961,-19.43808889389038,-0.011960838921368122,-0.007292193826287985,-0.9134376049041748,-0.40673771500587463
odom,base_link,1651236805,669008896,-23.361221313476562,112.5704574584961,-19.438088417053223,-0.011960834264755249,-0.007292174734175205,-0.9134374260902405,-0.4067380428314209
odom,base_link,1651236805,759008768,-23.36121940612793,112.5704574584961,-19.438088417053223,-0.01196082029491663,-0.007292147260159254,-0.9134373664855957,-0.40673828125
odom,base_link,1651236805,859008768,-23.36121940612793,112.5704574584961,-19.438088417053223,-0.01196082029491663,-0.007292152848094702,-0.9134372472763062,-0.4067385196685791
odom,base_link,1651236805,909008640,-23.36121940612793,112.5704574584961,-19.4380886554718,-0.011960815638303757,-0.007292154245078564,-0.9134371876716614,-0.40673863887786865
odom,base_link,1651236805,959008768,-23.36121940612793,112.5704574584961,-19.4380886554718,-0.011960810050368309,-0.007292144000530243,-0.9134370684623718,-0.4067387282848358
odom,base_link,1651236806,59008512,-23.361217498779297,112.5704574584961,-19.4380886554718,-0.011960819363594055,-0.007292141206562519,-0.9134370684623718,-0.4067390263080597
odom,base_link,1651236806,89008640,-23.361217498779297,112.5704574584961,-19.4380886554718,-0.011960821226239204,-0.007292134687304497,-0.9134369492530823,-0.4067390561103821
odom,base_link,1651236806,139008512,-23.361217498779297,112.5704574584961,-19.4380886554718,-0.011960819363594055,-0.007292137481272221,-0.9134369492530823,-0.406739205121994
odom,base_link,1651236806,259008512,-23.361217498779297,112.5704574584961,-19.4380886554718,-0.011960815638303757,-0.0072921523824334145,-0.9134368300437927,-0.4067395031452179
odom,base_link,1651236806,289008384,-23.361217498779297,112.5704574584961,-19.4380886554718,-0.011960813775658607,-0.007292160764336586,-0.9134367108345032,-0.4067395329475403
odom,base_link,1651236806,319008256,-23.361217498779297,112.5704574584961,-19.438088417053223,-0.011960823088884354,-0.00729216355830431,-0.9134367108345032,-0.40673962235450745
odom,base_link,1651236806,359008256,-23.361217498779297,112.5704574584961,-19.438088417053223,-0.011960826814174652,-0.007292167283594608,-0.9134367108345032,-0.406739741563797
odom,base_link,1651236806,459008256,-23.361215591430664,112.5704574584961,-19.438088417053223,-0.011960815638303757,-0.007292174734175205,-0.9134365916252136,-0.4067399799823761
odom,base_link,1651236806,539008256,-23.361215591430664,112.5704574584961,-19.43808889389038,-0.011960817500948906,-0.007292177528142929,-0.9134364724159241,-0.40674012899398804
odom,base_link,1651236806,569008128,-23.361215591430664,112.5704574584961,-19.43808889389038,-0.011960819363594055,-0.007292184047400951,-0.9134364724159241,-0.4067402184009552
odom,base_link,1651236806,669008128,-23.361215591430664,112.5704574584961,-19.43808889389038,-0.01196080818772316,-0.0072922008112072945,-0.9134363532066345,-0.4067404568195343
odom,base_link,1651236806,769007872,-23.361215591430664,112.57044982910156,-19.43808889389038,-0.01196079421788454,-0.007292190100997686,-0.9134362936019897,-0.4067407250404358
odom,base_link,1651236806,829007872,-23.36121368408203,112.57044982910156,-19.4380886554718,-0.011960789561271667,-0.007292223162949085,-0.913436233997345,-0.40674087405204773
odom,base_link,1651236806,849007872,-23.36121368408203,112.57044982910156,-19.4380886554718,-0.011960785835981369,-0.007292223162949085,-0.913436233997345,-0.4067409336566925
odom,base_link,1651236806,929007872,-23.36121368408203,112.57044982910156,-19.4380886554718,-0.011960785835981369,-0.007292223162949085,-0.9134361147880554,-0.40674111247062683
odom,base_link,1651236806,959007744,-23.36121368408203,112.57044982910156,-19.438088417053223,-0.011960786767303944,-0.007292240392416716,-0.9134360551834106,-0.4067411720752716
odom,base_link,1651236807,29007616,-23.36121368408203,112.57044982910156,-19.4380886554718,-0.011960785835981369,-0.007292256690561771,-0.9134359955787659,-0.40674135088920593
odom,base_link,1651236807,369007360,-23.3612117767334,112.57044982910156,-19.43808889389038,-0.011960852891206741,-0.007292293943464756,-0.9134356379508972,-0.4067422151565552
odom,base_link,1651236807,459007232,-23.3612117767334,112.57044982910156,-19.4380886554718,-0.011960852891206741,-0.007292292080819607,-0.9134355187416077,-0.4067424237728119
odom,base_link,1651236807,529007104,-23.3612117767334,112.57044982910156,-19.43808889389038,-0.011960860341787338,-0.007292295806109905,-0.9134353995323181,-0.40674257278442383
odom,base_link,1651236807,569007104,-23.3612117767334,112.57044982910156,-19.43808889389038,-0.01196085661649704,-0.00729228463023901,-0.9134353995323181,-0.4067426919937134
odom,base_link,1651236807,629007104,-23.361209869384766,112.57044982910156,-19.438088417053223,-0.011960857547819614,-0.007292285095900297,-0.9134353399276733,-0.4067428410053253
odom,base_link,1651236807,669007104,-23.361209869384766,112.57044982910156,-19.4380886554718,-0.011960852891206741,-0.00729228463023901,-0.9134352803230286,-0.4067429304122925
odom,base_link,1651236807,769006848,-23.361209869384766,112.57044982910156,-19.4380886554718,-0.011960845440626144,-0.007292280904948711,-0.913435161113739,-0.4067431688308716
odom,base_link,1651236807,859006976,-23.361209869384766,112.57044982910156,-19.4380886554718,-0.01196083053946495,-0.007292305119335651,-0.9134350419044495,-0.4067433774471283
odom,base_link,1651236807,929006848,-23.361209869384766,112.57044982910156,-19.4380886554718,-0.011960837990045547,-0.007292295806109905,-0.9134350419044495,-0.406743586063385
odom,base_link,1651236807,969006848,-23.363719940185547,112.56832122802734,-19.43832564353943,-0.012124573811888695,-0.007378871086984873,-0.9136942028999329,-0.40615442395210266
odom,base_link,1651236807,999006720,-23.368274688720703,112.56426239013672,-19.43865704536438,-0.01235522422939539,-0.007480916101485491,-0.9141062498092651,-0.4052175283432007
odom,base_link,1651236808,69006592,-23.38751983642578,112.54657745361328,-19.43954873085022,-0.0130415428429842,-0.00775102386251092,-0.9157524108886719,-0.4014565944671631
odom,base_link,1651236808,159006720,-23.42926025390625,112.5067138671875,-19.440391302108765,-0.01395837590098381,-0.008068840019404888,-0.9192129373550415,-0.39343079924583435
odom,base_link,1651236808,199006464,-23.453691482543945,112.48260498046875,-19.440572261810303,-0.014336705207824707,-0.008187321946024895,-0.9212096929550171,-0.3887161910533905
odom,base_link,1651236808,269006592,-23.50472068786621,112.43058013916016,-19.440581798553467,-0.014943579211831093,-0.008360923267900944,-0.9253387451171875,-0.37875455617904663
odom,base_link,1651236808,299006464,-23.529674530029297,112.404296875,-19.440470218658447,-0.015185261145234108,-0.0084247887134552,-0.927341639995575,-0.37381261587142944
odom,base_link,1651236808,339006464,-23.5656795501709,112.36538696289062,-19.440220594406128,-0.015494847670197487,-0.008503337390720844,-0.9302154183387756,-0.3665882647037506
odom,base_link,1651236808,439006208,-23.668302536010742,112.24776458740234,-19.43912410736084,-0.016234254464507103,-0.008685445412993431,-0.9383121728897095,-0.3452988862991333
odom,base_link,1651236808,479006208,-23.7126522064209,112.19434356689453,-19.438385009765625,-0.01599872298538685,-0.007664382923394442,-0.94017493724823,-0.34023019671440125
odom,base_link,1651236808,539006208,-23.7780704498291,112.11349487304688,-19.43670082092285,-0.015189386904239655,-0.005619336385279894,-0.940475583076477,-0.33947527408599854
odom,base_link,1651236808,579006208,-23.821622848510742,112.06002044677734,-19.43532705307007,-0.014781918376684189,-0.004829796496778727,-0.9404909610748291,-0.3394627273082733
odom,base_link,1651236808,639006208,-23.886995315551758,111.98060607910156,-19.433186531066895,-0.014385174959897995,-0.004268400836735964,-0.9404928088188171,-0.33948221802711487
odom,base_link,1651236808,669006080,-23.919652938842773,111.94120788574219,-19.43213653564453,-0.014264741912484169,-0.004167855717241764,-0.9404916167259216,-0.3394918143749237
odom,base_link,1651236808,729006080,-23.984779357910156,111.8631820678711,-19.42936897277832,-0.014080839231610298,-0.00442639971151948,-0.9404923319816589,-0.33949410915374756
odom,base_link,1651236808,769006080,-24.02800178527832,111.81171417236328,-19.42716360092163,-0.01398845762014389,-0.004832292906939983,-0.9404929280281067,-0.3394908607006073
odom,base_link,1651236808,849005824,-24.113845825195312,111.70980072021484,-19.42322063446045,-0.013925096020102501,-0.005618528928607702,-0.9404921531677246,-0.33948376774787903
odom,base_link,1651236808,939005952,-24.20929527282715,111.59637451171875,-19.419661045074463,-0.013987816870212555,-0.006267159711569548,-0.9404888153076172,-0.3394787609577179
odom,base_link,1651236809,39005696,-24.31403923034668,111.47180938720703,-19.416564464569092,-0.014201261103153229,-0.006821537856012583,-0.9404874444007874,-0.33946314454078674
odom,base_link,1651236809,69005824,-24.345212936401367,111.43473815917969,-19.41577386856079,-0.014289844781160355,-0.006969211157411337,-0.9404870867729187,-0.33945754170417786
odom,base_link,1651236809,139005696,-24.417490005493164,111.3487319946289,-19.41404438018799,-0.014511331915855408,-0.007282060105353594,-0.9404857754707336,-0.3394451439380646
odom,base_link,1651236809,169005568,-24.44826889038086,111.31208801269531,-19.4133243560791,-0.01460547000169754,-0.007401817943900824,-0.9404850602149963,-0.3394404649734497
odom,base_link,1651236809,229005568,-24.51337242126465,111.23444366455078,-19.412261724472046,-0.01496213860809803,-0.007566687185317278,-0.9404767155647278,-0.3394443690776825
odom,base_link,1651236809,269005568,-24.562036514282227,111.17633819580078,-19.411815643310547,-0.015347879379987717,-0.00762372650206089,-0.9404663443565369,-0.3394545614719391
odom,base_link,1651236809,339005440,-24.65741729736328,111.06228637695312,-19.410356760025024,-0.015973133966326714,-0.007671899162232876,-0.9404456615447998,-0.3394818902015686
odom,base_link,1651236809,439005440,-24.816438674926758,110.87188720703125,-19.405692100524902,-0.016383513808250427,-0.007706649135798216,-0.9404134750366211,-0.33955085277557373
odom,base_link,1651236809,509005312,-24.944002151489258,110.71897888183594,-19.4010066986084,-0.016347810626029968,-0.007699948735535145,-0.9403895735740662,-0.3396190106868744
odom,base_link,1651236809,569005312,-25.06420135498047,110.57485961914062,-19.396239757537842,-0.016180748119950294,-0.007703009992837906,-0.9403698444366455,-0.339681476354599
odom,base_link,1651236809,639005184,-25.217382431030273,110.39125061035156,-19.390704870224,-0.016038184985518456,-0.007745750248432159,-0.940346360206604,-0.33975234627723694
odom,base_link,1651236809,659005184,-25.263751983642578,110.335693359375,-19.389209270477295,-0.016026310622692108,-0.007766549941152334,-0.9403391480445862,-0.3397722840309143
odom,base_link,1651236809,709005056,-25.384111404418945,110.19157409667969,-19.38530707359314,-0.01598508097231388,-0.007883432321250439,-0.9403220415115356,-0.33981871604919434
odom,base_link,1651236809,729005056,-25.432682037353516,110.13347625732422,-19.38355803489685,-0.01590820774435997,-0.007969592697918415,-0.9403182864189148,-0.33983078598976135
odom,base_link,1651236809,769005056,-25.52967071533203,110.01754760742188,-19.37982201576233,-0.015672778710722923,-0.008190853521227837,-0.9403143525123596,-0.33984753489494324
odom,base_link,1651236809,809005056,-25.626436233520508,109.90196990966797,-19.375931978225708,-0.015384491533041,-0.00844875629991293,-0.9403122067451477,-0.3398602306842804
odom,base_link,1651236809,859004928,-25.747060775756836,109.75794219970703,-19.371037006378174,-0.015014439821243286,-0.008790153078734875,-0.9403102397918701,-0.33987367153167725
odom,base_link,1651236809,949004800,-25.963211059570312,109.49992370605469,-19.362487077713013,-0.014437384903430939,-0.009391040541231632,-0.9403054714202881,-0.33989572525024414
odom,base_link,1651236809,999004928,-26.082744598388672,109.35724639892578,-19.35794973373413,-0.014188469387590885,-0.009700402617454529,-0.9403016567230225,-0.33990803360939026
odom,base_link,1651236810,109004800,-26.34437370300293,109.04509735107422,-19.34847903251648,-0.013782855123281479,-0.010424214415252209,-0.9402909874916077,-0.33993270993232727
odom,base_link,1651236810,129004800,-26.39177131652832,108.98858642578125,-19.346821069717407,-0.013718599453568459,-0.010598745197057724,-0.9402889013290405,-0.33993563055992126
odom,base_link,1651236810,169004800,-26.48904037475586,108.87257385253906,-19.343863487243652,-0.01366053894162178,-0.010878302156925201,-0.9402801990509033,-0.3399534523487091
odom,base_link,1651236810,249004544,-26.69765853881836,108.62336730957031,-19.339188814163208,-0.013814648613333702,-0.010898466221988201,-0.9402619004249573,-0.339996874332428
odom,base_link,1651236810,289004544,-26.809011459350586,108.49011993408203,-19.336944580078125,-0.01392669603228569,-0.01069964561611414,-0.9402560591697693,-0.3400150537490845
odom,base_link,1651236810,349004544,-26.98497200012207,108.27935028076172,-19.333317279815674,-0.014048174023628235,-0.010280787013471127,-0.9402486085891724,-0.34004369378089905
odom,base_link,1651236810,459004416,-27.33588409423828,107.8587417602539,-19.325352668762207,-0.014031749218702316,-0.009374164044857025,-0.9402385354042053,-0.3400980830192566
odom,base_link,1651236810,549004288,-27.650732040405273,107.48136138916016,-19.317444801330566,-0.01377926766872406,-0.008611849509179592,-0.9402350783348083,-0.3401382863521576
odom,base_link,1651236810,629004288,-27.951866149902344,107.12045288085938,-19.30948233604431,-0.013418467715382576,-0.007948418147861958,-0.9402340650558472,-0.3401716649532318
